season,week,celebrity_name,ballroom_partner,judge1,judge2,judge3,judge4,total_judge_score,eliminated_flag,results,placement,industry
2,2,Jerry Rice,Anna Trebunskaya,7.0,8.0,8.0,,23.0,0,2nd Place,2,Athlete
2,2,Tia Carrere,Maksim Chmerkoskiy,7.0,8.0,7.0,,22.0,0,Eliminated Week 5,6,Actor/Actress
2,2,George Hamilton,Edyta Sliwinska,8.0,7.0,7.0,,22.0,0,Eliminated Week 6,5,Actor/Actress
2,2,Lisa Rinna,Louis van Amstel,6.0,7.0,7.0,,20.0,0,Eliminated Week 7,4,Actor/Actress
2,2,Tatum O'Neal,Nick Kosovich,5.0,6.0,6.0,,17.0,1,Eliminated Week 2,9,Actor/Actress
2,2,Master P,Ashly DelGrosso,6.0,5.0,5.0,,16.0,0,Eliminated Week 4,7,Singer/Rapper
2,3,Stacy Keibler,Tony Dovolani,9.0,9.0,9.0,,27.0,0,3rd Place,3,Athlete
2,3,Drew Lachey,Cheryl Burke,9.0,9.0,9.0,,27.0,0,1st Place,1,Singer/Rapper
2,3,Tia Carrere,Maksim Chmerkoskiy,9.0,8.0,9.0,,26.0,0,Eliminated Week 5,6,Actor/Actress
2,3,Lisa Rinna,Louis van Amstel,8.0,8.0,9.0,,25.0,0,Eliminated Week 7,4,Actor/Actress
2,3,George Hamilton,Edyta Sliwinska,7.0,7.0,8.0,,22.0,0,Eliminated Week 6,5,Actor/Actress
2,3,Giselle Fernandez,Jonathan Roberts,7.0,8.0,7.0,,22.0,1,Eliminated Week 3,8,News Anchor
2,3,Jerry Rice,Anna Trebunskaya,7.0,6.0,6.0,,19.0,0,2nd Place,2,Athlete
2,3,Master P,Ashly DelGrosso,6.0,4.0,4.0,,14.0,0,Eliminated Week 4,7,Singer/Rapper
2,4,Drew Lachey,Cheryl Burke,9.0,9.0,10.0,,28.0,0,1st Place,1,Singer/Rapper
2,4,Lisa Rinna,Louis van Amstel,9.0,9.0,8.0,,26.0,0,Eliminated Week 7,4,Actor/Actress
2,4,Stacy Keibler,Tony Dovolani,8.0,9.0,9.0,,26.0,0,3rd Place,3,Athlete
2,4,Tia Carrere,Maksim Chmerkoskiy,9.0,8.0,8.0,,25.0,0,Eliminated Week 5,6,Actor/Actress
2,4,Jerry Rice,Anna Trebunskaya,8.0,8.0,8.0,,24.0,0,2nd Place,2,Athlete
2,4,George Hamilton,Edyta Sliwinska,7.0,7.0,7.0,,21.0,0,Eliminated Week 6,5,Actor/Actress
2,4,Master P,Ashly DelGrosso,4.0,2.0,2.0,,8.0,1,Eliminated Week 4,7,Singer/Rapper
2,5,Stacy Keibler,Tony Dovolani,10.0,10.0,10.0,,30.0,0,3rd Place,3,Athlete
2,5,Drew Lachey,Cheryl Burke,9.0,9.0,9.0,,27.0,0,1st Place,1,Singer/Rapper
2,5,Lisa Rinna,Louis van Amstel,7.0,9.0,9.0,,25.0,0,Eliminated Week 7,4,Actor/Actress
2,5,George Hamilton,Edyta Sliwinska,8.0,8.0,8.0,,24.0,0,Eliminated Week 6,5,Actor/Actress
2,5,Jerry Rice,Anna Trebunskaya,7.0,8.0,8.0,,23.0,0,2nd Place,2,Athlete
2,5,Tia Carrere,Maksim Chmerkoskiy,7.0,7.0,8.0,,22.0,1,Eliminated Week 5,6,Actor/Actress
2,6,Stacy Keibler,Tony Dovolani,10.0,10.0,10.0,,30.0,0,3rd Place,3,Athlete
2,6,Drew Lachey,Cheryl Burke,10.0,10.0,10.0,,30.0,0,1st Place,1,Singer/Rapper
2,6,Lisa Rinna,Louis van Amstel,9.0,9.0,9.0,,27.0,0,Eliminated Week 7,4,Actor/Actress
2,6,George Hamilton,Edyta Sliwinska,8.0,7.0,8.0,,23.0,1,Eliminated Week 6,5,Actor/Actress
2,6,Jerry Rice,Anna Trebunskaya,8.0,7.0,8.0,,23.0,0,2nd Place,2,Athlete
2,7,Stacy Keibler,Tony Dovolani,9.0,9.0,9.5,,27.5,0,3rd Place,3,Athlete
2,7,Drew Lachey,Cheryl Burke,9.5,9.0,9.0,,27.5,0,1st Place,1,Singer/Rapper
2,7,Lisa Rinna,Louis van Amstel,8.5,9.0,9.0,,26.5,1,Eliminated Week 7,4,Actor/Actress
2,7,Jerry Rice,Anna Trebunskaya,7.0,7.0,6.5,,20.5,0,2nd Place,2,Athlete
2,8,Drew Lachey,Cheryl Burke,9.6666,9.6666,9.6666,,28.9998,0,1st Place,1,Singer/Rapper
2,8,Stacy Keibler,Tony Dovolani,9.3333,9.6666,9.6666,,28.6665,0,3rd Place,3,Athlete
2,8,Jerry Rice,Anna Trebunskaya,9.0,9.0,8.6666,,26.666600000000003,0,2nd Place,2,Athlete
3,1,Mario Lopez,Karina Smirnoff,9.0,8.0,9.0,,26.0,0,2nd Place,2,Actor/Actress
3,1,Emmitt Smith,Cheryl Burke,8.0,8.0,8.0,,24.0,0,1st Place,1,Athlete
3,1,Vivica A. Fox,Nick Kosovich,6.0,8.0,8.0,,22.0,0,Eliminated Week 4,8,Actor/Actress
3,1,Willa Ford,Maksim Chmerkoskiy,7.0,7.0,8.0,,22.0,0,Eliminated Week 5,7,Singer/Rapper
3,1,Joey Lawrence,Edyta Sliwinska,7.0,7.0,7.0,,21.0,0,3rd Place,3,Actor/Actress
3,1,Monique Coleman,Louis van Amstel,6.0,6.0,7.0,,19.0,0,Eliminated Week 8,4,Actor/Actress
3,1,Shanna Moakler,Jesse DeSoto,7.0,5.0,6.0,,18.0,0,Eliminated Week 2,10,Model
3,1,Harry Hamlin,Ashly DelGrosso,5.0,6.0,6.0,,17.0,0,Eliminated Week 3,9,Actor/Actress
3,1,Jerry Springer,Kym Johnson,5.0,5.0,6.0,,16.0,0,Eliminated Week 7,5,TV Personality
3,1,Sara Evans,Tony Dovolani,5.0,5.0,5.0,,15.0,0,Withdrew,6,Singer/Rapper
3,1,Tucker Carlson,Elena Grinenko,5.0,4.0,3.0,,12.0,1,Eliminated Week 1,11,TV Personality
3,2,Joey Lawrence,Edyta Sliwinska,10.0,9.0,10.0,,29.0,0,3rd Place,3,Actor/Actress
3,2,Monique Coleman,Louis van Amstel,9.0,8.0,9.0,,26.0,0,Eliminated Week 8,4,Actor/Actress
3,2,Vivica A. Fox,Nick Kosovich,8.0,8.0,8.0,,24.0,0,Eliminated Week 4,8,Actor/Actress
3,2,Emmitt Smith,Cheryl Burke,8.0,8.0,8.0,,24.0,0,1st Place,1,Athlete
3,2,Willa Ford,Maksim Chmerkoskiy,7.0,8.0,8.0,,23.0,0,Eliminated Week 5,7,Singer/Rapper
3,2,Shanna Moakler,Jesse DeSoto,8.0,7.0,7.0,,22.0,1,Eliminated Week 2,10,Model
3,2,Harry Hamlin,Ashly DelGrosso,7.0,7.0,7.0,,21.0,0,Eliminated Week 3,9,Actor/Actress
3,2,Mario Lopez,Karina Smirnoff,7.0,6.0,8.0,,21.0,0,2nd Place,2,Actor/Actress
3,2,Sara Evans,Tony Dovolani,7.0,7.0,7.0,,21.0,0,Withdrew,6,Singer/Rapper
3,2,Jerry Springer,Kym Johnson,7.0,6.0,6.0,,19.0,0,Eliminated Week 7,5,TV Personality
3,3,Vivica A. Fox,Nick Kosovich,9.0,9.0,9.0,,27.0,0,Eliminated Week 4,8,Actor/Actress
3,3,Monique Coleman,Louis van Amstel,9.0,9.0,9.0,,27.0,0,Eliminated Week 8,4,Actor/Actress
3,3,Sara Evans,Tony Dovolani,8.0,9.0,8.0,,25.0,0,Withdrew,6,Singer/Rapper
3,3,Harry Hamlin,Ashly DelGrosso,7.0,8.0,7.0,,22.0,1,Eliminated Week 3,9,Actor/Actress
3,3,Joey Lawrence,Edyta Sliwinska,8.0,6.0,8.0,,22.0,0,3rd Place,3,Actor/Actress
3,3,Mario Lopez,Karina Smirnoff,8.0,6.0,8.0,,22.0,0,2nd Place,2,Actor/Actress
3,3,Willa Ford,Maksim Chmerkoskiy,7.0,7.0,8.0,,22.0,0,Eliminated Week 5,7,Singer/Rapper
3,3,Jerry Springer,Kym Johnson,7.0,7.0,7.0,,21.0,0,Eliminated Week 7,5,TV Personality
3,3,Emmitt Smith,Cheryl Burke,7.0,6.0,6.0,,19.0,0,1st Place,1,Athlete
3,4,Mario Lopez,Karina Smirnoff,10.0,9.0,10.0,,29.0,0,2nd Place,2,Actor/Actress
3,4,Willa Ford,Maksim Chmerkoskiy,9.0,9.0,10.0,,28.0,0,Eliminated Week 5,7,Singer/Rapper
3,4,Joey Lawrence,Edyta Sliwinska,9.0,9.0,9.0,,27.0,0,3rd Place,3,Actor/Actress
3,4,Vivica A. Fox,Nick Kosovich,8.0,8.0,8.0,,24.0,1,Eliminated Week 4,8,Actor/Actress
3,4,Monique Coleman,Louis van Amstel,8.0,8.0,8.0,,24.0,0,Eliminated Week 8,4,Actor/Actress
3,4,Emmitt Smith,Cheryl Burke,8.0,8.0,8.0,,24.0,0,1st Place,1,Athlete
3,4,Jerry Springer,Kym Johnson,7.0,7.0,8.0,,22.0,0,Eliminated Week 7,5,TV Personality
3,4,Sara Evans,Tony Dovolani,6.0,7.0,7.0,,20.0,0,Withdrew,6,Singer/Rapper
3,5,Monique Coleman,Louis van Amstel,9.0,9.0,9.0,,27.0,0,Eliminated Week 8,4,Actor/Actress
3,5,Mario Lopez,Karina Smirnoff,9.0,9.0,9.0,,27.0,0,2nd Place,2,Actor/Actress
3,5,Emmitt Smith,Cheryl Burke,9.0,9.0,9.0,,27.0,0,1st Place,1,Athlete
3,5,Willa Ford,Maksim Chmerkoskiy,9.0,9.0,9.0,,27.0,1,Eliminated Week 5,7,Singer/Rapper
3,5,Joey Lawrence,Edyta Sliwinska,8.0,8.0,9.0,,25.0,0,3rd Place,3,Actor/Actress
3,5,Sara Evans,Tony Dovolani,8.0,8.0,8.0,,24.0,0,Withdrew,6,Singer/Rapper
3,5,Jerry Springer,Kym Johnson,8.0,8.0,8.0,,24.0,0,Eliminated Week 7,5,TV Personality
3,6,Mario Lopez,Karina Smirnoff,9.0,9.0,10.0,,28.0,0,2nd Place,2,Actor/Actress
3,6,Emmitt Smith,Cheryl Burke,8.0,8.0,9.0,,25.0,0,1st Place,1,Athlete
3,6,Joey Lawrence,Edyta Sliwinska,8.0,8.0,8.0,,24.0,0,3rd Place,3,Actor/Actress
3,6,Monique Coleman,Louis van Amstel,9.0,7.0,7.0,,23.0,0,Eliminated Week 8,4,Actor/Actress
3,6,Jerry Springer,Kym Johnson,7.0,6.0,5.0,,18.0,0,Eliminated Week 7,5,TV Personality
3,7,Joey Lawrence,Edyta Sliwinska,9.5,9.0,10.0,,28.5,0,3rd Place,3,Actor/Actress
3,7,Emmitt Smith,Cheryl Burke,10.0,9.5,9.0,,28.5,0,1st Place,1,Athlete
3,7,Mario Lopez,Karina Smirnoff,9.5,9.0,9.5,,28.0,0,2nd Place,2,Actor/Actress
3,7,Monique Coleman,Louis van Amstel,9.0,9.0,9.0,,27.0,0,Eliminated Week 8,4,Actor/Actress
3,7,Jerry Springer,Kym Johnson,7.5,8.0,7.5,,23.0,1,Eliminated Week 7,5,TV Personality
3,8,Mario Lopez,Karina Smirnoff,9.5,9.0,10.0,,28.5,0,2nd Place,2,Actor/Actress
3,8,Joey Lawrence,Edyta Sliwinska,9.5,8.5,9.0,,27.0,0,3rd Place,3,Actor/Actress
3,8,Emmitt Smith,Cheryl Burke,8.5,9.0,9.5,,27.0,0,1st Place,1,Athlete
3,8,Monique Coleman,Louis van Amstel,8.5,9.0,9.0,,26.5,1,Eliminated Week 8,4,Actor/Actress
3,9,Joey Lawrence,Edyta Sliwinska,9.5,10.0,10.0,,29.5,0,3rd Place,3,Actor/Actress
3,9,Mario Lopez,Karina Smirnoff,10.0,9.5,10.0,,29.5,0,2nd Place,2,Actor/Actress
3,9,Emmitt Smith,Cheryl Burke,9.5,10.0,10.0,,29.5,0,1st Place,1,Athlete
3,10,Mario Lopez,Karina Smirnoff,10.0,10.0,9.6666,,29.666600000000003,0,2nd Place,2,Actor/Actress
3,10,Emmitt Smith,Cheryl Burke,10.0,9.6666,10.0,,29.666600000000003,0,1st Place,1,Athlete
4,1,Joey Fatone,Kym Johnson,8.0,8.0,8.0,,24.0,0,2nd Place,2,Singer/Rapper
4,1,Laila Ali,Maksim Chmerkoskiy,7.0,8.0,8.0,,23.0,0,3rd Place,3,Athlete
4,1,Ian Ziering,Cheryl Burke,7.0,7.0,7.0,,21.0,0,Eliminated Week 9,4,Actor/Actress
4,1,Apolo Anton Ohno,Julianne Hough,7.0,7.0,7.0,,21.0,0,1st Place,1,Athlete
4,1,Shandi Finnessey,Brian Fortuna,6.0,6.0,7.0,,19.0,0,Eliminated Week 3,10,Beauty Pagent
4,1,Paulina Porizkova,Alec Mazo,6.0,6.0,7.0,,19.0,0,Eliminated Week 2,11,Model
4,1,Heather Mills,Jonathan Roberts,6.0,6.0,6.0,,18.0,0,Eliminated Week 6,7,Model
4,1,John Ratzenberger,Edyta Sliwinska,6.0,5.0,6.0,,17.0,0,Eliminated Week 7,6,Actor/Actress
4,1,Clyde Drexler,Elena Grinenko,6.0,5.0,5.0,,16.0,0,Eliminated Week 5,8,Athlete
4,1,Leeza Gibbons,Tony Dovolani,5.0,5.0,5.0,,15.0,0,Eliminated Week 4,9,TV Personality
4,1,Billy Ray Cyrus,Karina Smirnoff,5.0,4.0,4.0,,13.0,0,Eliminated Week 8,5,Singer/Rapper
4,2,Laila Ali,Maksim Chmerkoskiy,9.0,9.0,9.0,,27.0,0,3rd Place,3,Athlete
4,2,Apolo Anton Ohno,Julianne Hough,8.0,9.0,9.0,,26.0,0,1st Place,1,Athlete
4,2,Heather Mills,Jonathan Roberts,8.0,8.0,8.0,,24.0,0,Eliminated Week 6,7,Model
4,2,Joey Fatone,Kym Johnson,8.0,8.0,8.0,,24.0,0,2nd Place,2,Singer/Rapper
4,2,Ian Ziering,Cheryl Burke,7.0,8.0,7.0,,22.0,0,Eliminated Week 9,4,Actor/Actress
4,2,John Ratzenberger,Edyta Sliwinska,7.0,7.0,7.0,,21.0,0,Eliminated Week 7,6,Actor/Actress
4,2,Paulina Porizkova,Alec Mazo,7.0,7.0,7.0,,21.0,1,Eliminated Week 2,11,Model
4,2,Billy Ray Cyrus,Karina Smirnoff,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Singer/Rapper
4,2,Leeza Gibbons,Tony Dovolani,7.0,7.0,7.0,,21.0,0,Eliminated Week 4,9,TV Personality
4,2,Shandi Finnessey,Brian Fortuna,6.0,7.0,7.0,,20.0,0,Eliminated Week 3,10,Beauty Pagent
4,2,Clyde Drexler,Elena Grinenko,6.0,6.0,6.0,,18.0,0,Eliminated Week 5,8,Athlete
4,3,Ian Ziering,Cheryl Burke,8.0,8.0,8.0,,24.0,0,Eliminated Week 9,4,Actor/Actress
4,3,Heather Mills,Jonathan Roberts,8.0,8.0,8.0,,24.0,0,Eliminated Week 6,7,Model
4,3,Joey Fatone,Kym Johnson,8.0,8.0,8.0,,24.0,0,2nd Place,2,Singer/Rapper
4,3,Leeza Gibbons,Tony Dovolani,8.0,8.0,8.0,,24.0,0,Eliminated Week 4,9,TV Personality
4,3,Apolo Anton Ohno,Julianne Hough,7.0,8.0,8.0,,23.0,0,1st Place,1,Athlete
4,3,Laila Ali,Maksim Chmerkoskiy,7.0,7.0,7.0,,21.0,0,3rd Place,3,Athlete
4,3,Shandi Finnessey,Brian Fortuna,7.0,7.0,7.0,,21.0,1,Eliminated Week 3,10,Beauty Pagent
4,3,Billy Ray Cyrus,Karina Smirnoff,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Singer/Rapper
4,3,John Ratzenberger,Edyta Sliwinska,7.0,6.0,7.0,,20.0,0,Eliminated Week 7,6,Actor/Actress
4,3,Clyde Drexler,Elena Grinenko,6.0,5.0,5.0,,16.0,0,Eliminated Week 5,8,Athlete
4,4,Joey Fatone,Kym Johnson,10.0,9.0,9.0,,28.0,0,2nd Place,2,Singer/Rapper
4,4,Apolo Anton Ohno,Julianne Hough,9.0,8.0,9.0,,26.0,0,1st Place,1,Athlete
4,4,Ian Ziering,Cheryl Burke,7.0,9.0,8.0,,24.0,0,Eliminated Week 9,4,Actor/Actress
4,4,Heather Mills,Jonathan Roberts,7.0,8.0,8.0,,23.0,0,Eliminated Week 6,7,Model
4,4,Laila Ali,Maksim Chmerkoskiy,7.0,7.0,7.0,,21.0,0,3rd Place,3,Athlete
4,4,Billy Ray Cyrus,Karina Smirnoff,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Singer/Rapper
4,4,John Ratzenberger,Edyta Sliwinska,6.0,5.0,5.0,,16.0,0,Eliminated Week 7,6,Actor/Actress
4,4,Leeza Gibbons,Tony Dovolani,6.0,5.0,5.0,,16.0,1,Eliminated Week 4,9,TV Personality
4,4,Clyde Drexler,Elena Grinenko,6.0,4.0,5.0,,15.0,0,Eliminated Week 5,8,Athlete
4,5,Apolo Anton Ohno,Julianne Hough,10.0,10.0,10.0,,30.0,0,1st Place,1,Athlete
4,5,Laila Ali,Maksim Chmerkoskiy,9.0,10.0,9.0,,28.0,0,3rd Place,3,Athlete
4,5,Joey Fatone,Kym Johnson,8.0,8.0,9.0,,25.0,0,2nd Place,2,Singer/Rapper
4,5,Ian Ziering,Cheryl Burke,8.0,8.0,8.0,,24.0,0,Eliminated Week 9,4,Actor/Actress
4,5,Heather Mills,Jonathan Roberts,7.0,7.0,7.0,,21.0,0,Eliminated Week 6,7,Model
4,5,John Ratzenberger,Edyta Sliwinska,6.0,6.0,6.0,,18.0,0,Eliminated Week 7,6,Actor/Actress
4,5,Billy Ray Cyrus,Karina Smirnoff,6.0,6.0,5.0,,17.0,0,Eliminated Week 8,5,Singer/Rapper
4,5,Clyde Drexler,Elena Grinenko,4.0,5.0,4.0,,13.0,1,Eliminated Week 5,8,Athlete
4,6,Laila Ali,Maksim Chmerkoskiy,9.0,9.0,10.0,,28.0,0,3rd Place,3,Athlete
4,6,Apolo Anton Ohno,Julianne Hough,9.0,9.0,10.0,,28.0,0,1st Place,1,Athlete
4,6,Joey Fatone,Kym Johnson,9.0,9.0,9.0,,27.0,0,2nd Place,2,Singer/Rapper
4,6,Ian Ziering,Cheryl Burke,8.0,8.0,8.0,,24.0,0,Eliminated Week 9,4,Actor/Actress
4,6,Heather Mills,Jonathan Roberts,7.0,8.0,8.0,,23.0,1,Eliminated Week 6,7,Model
4,6,Billy Ray Cyrus,Karina Smirnoff,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Singer/Rapper
4,6,John Ratzenberger,Edyta Sliwinska,7.0,6.0,6.0,,19.0,0,Eliminated Week 7,6,Actor/Actress
4,7,Laila Ali,Maksim Chmerkoskiy,10.0,9.5,10.0,,29.5,0,3rd Place,3,Athlete
4,7,Joey Fatone,Kym Johnson,10.0,9.5,10.0,,29.5,0,2nd Place,2,Singer/Rapper
4,7,Ian Ziering,Cheryl Burke,9.0,9.0,9.0,,27.0,0,Eliminated Week 9,4,Actor/Actress
4,7,Apolo Anton Ohno,Julianne Hough,9.0,8.5,9.5,,27.0,0,1st Place,1,Athlete
4,7,John Ratzenberger,Edyta Sliwinska,7.5,7.5,7.5,,22.5,1,Eliminated Week 7,6,Actor/Actress
4,7,Billy Ray Cyrus,Karina Smirnoff,6.0,6.5,6.5,,19.0,0,Eliminated Week 8,5,Singer/Rapper
4,8,Apolo Anton Ohno,Julianne Hough,10.0,9.0,10.0,,29.0,0,1st Place,1,Athlete
4,8,Joey Fatone,Kym Johnson,9.5,9.0,9.0,,27.5,0,2nd Place,2,Singer/Rapper
4,8,Laila Ali,Maksim Chmerkoskiy,9.0,8.5,9.0,,26.5,0,3rd Place,3,Athlete
4,8,Ian Ziering,Cheryl Burke,8.0,7.5,8.0,,23.5,0,Eliminated Week 9,4,Actor/Actress
4,8,Billy Ray Cyrus,Karina Smirnoff,6.5,6.5,6.0,,19.0,1,Eliminated Week 8,5,Singer/Rapper
4,9,Laila Ali,Maksim Chmerkoskiy,10.0,10.0,10.0,,30.0,0,3rd Place,3,Athlete
4,9,Joey Fatone,Kym Johnson,10.0,10.0,10.0,,30.0,0,2nd Place,2,Singer/Rapper
4,9,Apolo Anton Ohno,Julianne Hough,10.0,9.5,10.0,,29.5,0,1st Place,1,Athlete
4,9,Ian Ziering,Cheryl Burke,9.5,10.0,9.5,,29.0,1,Eliminated Week 9,4,Actor/Actress
4,10,Apolo Anton Ohno,Julianne Hough,9.6666,9.6666,10.0,,29.3332,0,1st Place,1,Athlete
4,10,Joey Fatone,Kym Johnson,9.6666,9.3333,9.6666,,28.6665,0,2nd Place,2,Singer/Rapper
4,10,Laila Ali,Maksim Chmerkoskiy,9.6666,9.0,9.6666,,28.333200000000005,0,3rd Place,3,Athlete
5,1,Sabrina Bryan,Mark Ballas,9.0,8.0,9.0,,26.0,0,Eliminated Week 6,7,Actor/Actress
5,1,Helio Castroneves,Julianne Hough,8.0,9.0,8.0,,25.0,0,1st Place,1,Racing Driver
5,1,Jane Seymour,Tony Dovolani,8.0,8.0,8.0,,24.0,0,Eliminated Week 7,6,Actor/Actress
5,1,Mel B,Maksim Chmerkoskiy,8.0,8.0,8.0,,24.0,0,2nd Place,2,Singer/Rapper
5,1,Cameron Mathison,Edyta Sliwinska,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Actor/Actress
5,1,Jennie Garth,Derek Hough,7.0,7.0,7.0,,21.0,0,Eliminated Week 9,4,Actor/Actress
5,1,Albert Reed,Anna Trebunskaya,7.0,7.0,7.0,,21.0,0,Eliminated Week 2,11,Model
5,1,Marie Osmond,Jonathan Roberts,7.0,7.0,7.0,,21.0,0,3rd Place,3,Singer/Rapper
5,1,Mark Cuban,Kym Johnson,7.0,7.0,7.0,,21.0,0,Eliminated Week 5,8,TV Personality
5,1,Wayne Newton,Cheryl Burke,6.0,7.0,6.0,,19.0,0,Eliminated Week 3,10,Singer/Rapper
5,1,Floyd Mayweather Jr. ,Karina Smirnoff,6.0,6.0,6.0,,18.0,0,Eliminated Week 4,9,Athlete
5,1,Josie Maran,Alec Mazo,6.0,5.0,5.0,,16.0,1,Eliminated Week 1,12,Model
5,2,Helio Castroneves,Julianne Hough,9.0,9.0,9.0,,27.0,0,1st Place,1,Racing Driver
5,2,Sabrina Bryan,Mark Ballas,9.0,8.0,9.0,,26.0,0,Eliminated Week 6,7,Actor/Actress
5,2,Marie Osmond,Jonathan Roberts,8.0,8.0,8.0,,24.0,0,3rd Place,3,Singer/Rapper
5,2,Mel B,Maksim Chmerkoskiy,7.0,8.0,8.0,,23.0,0,2nd Place,2,Singer/Rapper
5,2,Cameron Mathison,Edyta Sliwinska,7.0,7.0,7.0,,21.0,0,Eliminated Week 8,5,Actor/Actress
5,2,Jane Seymour,Tony Dovolani,7.0,7.0,7.0,,21.0,0,Eliminated Week 7,6,Actor/Actress
5,2,Jennie Garth,Derek Hough,7.0,7.0,7.0,,21.0,0,Eliminated Week 9,4,Actor/Actress
5,2,Floyd Mayweather Jr. ,Karina Smirnoff,7.0,7.0,7.0,,21.0,0,Eliminated Week 4,9,Athlete
